独立,B
基础,I
钢筋,I
接头,I
未,
打磨,
平整,
，,
戴,
保护帽,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
15日,
前,
整改,
完成,
,
独立,B
基础,I
底部,I
垫块,B
用,
砖,B
，,
要求,
总包,
【,
中建,
】,
于,
7月,
15日,
前,
整改,
完成,
,
10,B
#,I
塔吊,I
基础,I
竖向,I
拉钩,I
设置,
不,
标准,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
22日,
前,
整改,
完成,
,
DJ,
养护,
不,
够,
及时,
轻微,
开裂,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
22日,
前,
整改,
完成,
,
钢筋笼,B
加劲,I
箍,I
间距,
过,
大,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
22日,
前,
整改,
完成,
,
旋挖桩,B
施工,
未,
安装,
护筒,B
，,
要求,
总包,
【,
中建,
】,
于,
7月,
22日,
前,
整改,
完成,
,
孔底,B
淤泥,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
22日,
前,
整改,
完成,
,
人工,B
挖孔桩,I
未,
设置,
轴线,
标识,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
22日,
前,
整改,
完成,
,
直,B
螺纹,I
连接,
超过,
1.5,
丝,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
22日,
前,
整改,
完成,
,
5,B
#,I
塔吊,I
基础,I
竖向,I
拉钩,I
倾斜,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
5,B
#,I
塔吊,I
基坑壁,I
局部,
风化,
掉落,
至,
坑底,B
未,
进行,
清理,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
钢筋,B
制作房,
钢筋,B
焊接,
个别,
不,
饱满,
未,
及时,
清除,
焊渣,B
检查,
焊接,
质量,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
个别,
独立,B
基础,I
机械,B
连接,I
保护帽,I
缺失,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
钢筋,B
制作房,
钢筋,B
焊接,
个别,
不,
饱满,
未,
及时,
清除,
焊渣,
检查,
焊接,
质量,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
个别,
独立,B
基础,I
机械,B
连接,I
保护,I
帽,I
缺失,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
个别,
独立,B
基础,I
竖向,I
预留,I
柱,I
插筋,I
弯锚筋,I
长度,
不足,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
个别,
钢筋笼,B
加劲,I
箍,I
间距,
超,
2,
米,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
个别,
人工,B
挖孔桩,I
井圈,I
上,
无,
标识,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
个别,
旋挖桩,B
钢筋笼,I
吊装,
时,
扭曲,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
人工,B
挖孔桩,I
个别,
护臂,B
浇筑,
不,
够,
圆,
，,
要求,
总包,
【,
中建,
】,
于,
7月,
29日,
前,
整改,
完成,
,
Q3,B
区,I
支模,B
架体,I
站杆,I
垫方,I
与,
地面,
存在,
间隙,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
5日,
前,
整改,
完成,
,
独立,B
基础,I
钢筋,I
施工,
后,
基坑壁,B
松散,
岩石,B
掉落,
坑底,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
5日,
前,
整改,
完成,
,
独立,B
基础,I
机械,
开挖,
后,
，,
坑壁,B
四周,I
碎石,
清理,
不,
到位,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
5日,
前,
整改,
完成,
,
已经,
加工,
好,
的,
钢筋,B
直,I
螺纹,I
柱,I
插筋,I
保护帽,I
缺失,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
5日,
前,
整改,
完成,
,
人工,B
挖孔桩,I
偏位,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
5日,
前,
整改,
完成,
,
砼,B
浇筑,
过程,
中,
试压,
件,
制作,
不,
及时,
，,
要求,
总包,
【,
中建,
】,
从,
新,
对,
试件,
制作,
人员,
进行,
交底,
。,
,
钢筋,B
直,I
螺纹,I
车丝,I
完成,
后,
打磨,
不,
当,
损伤,
丝牙,B
，,
要求,
总包,
【,
中建,
】,
于,
8月,
12日,
前,
整改,
完成,
,
柱,B
钢筋,I
电渣,I
压力焊,I
焊包,I
突出,
高度,
不足,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
12日,
前,
整改,
完成,
,
桩,B
钢筋笼,I
螺旋,I
箍,I
起始,
未,
达到,
一,
圈,
半,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
12日,
前,
整改,
完成,
,
条基内,B
泥浆,
、,
矿泉水瓶,
未,
清理,
干净,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
12日,
前,
整改,
完成,
,
止水,B
钢板,I
接头,I
位置,I
焊穿,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
12日,
前,
整改,
完成,
,
止水,B
螺杆,I
止水,I
片,I
未,
居中,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
12日,
前,
整改,
完成,
,
柱,B
机械,
连接,
露,
丝数,
超过,
规范,
要求,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
12日,
前,
整改,
完成,
,
柱,B
起始,I
箍,I
超过,
规范,
要求,
的,
50mm,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
12日,
前,
整改,
完成,
,
Q3,B
区,I
B4,B
层,I
柱,B
竖向,I
钢筋,I
未,
位于,
箍筋,B
角部,I
，,
要求,
总包,
【,
中建,
】,
于,
8月,
20日,
前,
整改,
完成,
,
二级,
平台,
人工,B
挖孔桩,I
吊装,
过程,
中,
破坏,
严重,
，,
要求,
总包,
【,
中建,
】,
于,
8月,
20日,
前,
整改,
完成,
,
Q3,B
区,I
B4,B
层,I
个别,
柱子,B
未,
设置,
